order_id,customer_id,order_date,shipped_date,delivered_date,processing_days,delivery_days,promised_delivery_days,actual_delivery_days,delivery_delay_days,delivery_met_promise,product_category,product_price_mxn,product_weight_kg,quantity,total_amount_mxn,shipping_carrier,shipping_tier,shipping_cost_mxn,distance_km,shipping_type,customer_state,customer_region,customer_age_group,customer_loyalty_months,purchase_frequency,is_urban,payment_method,transaction_status,payment_installments,sales_channel,platform_name,is_peak_season,customer_delivery_rating,delivery_issue,shipping_cost_to_price_ratio,is_frequent_customer,is_loyal_customer,high_value_order
ECOMMX-2024-00000,CUST-25604,2025-03-21 14:47:03,2025-03-23 14:47:03,2025-03-28 14:47:03,2,5,6,5,-1,1,Moda y Accesorios,2377.36,0.73,3,7383.73,Estafeta,Estándar,251.65,1484.0,nacional,Nuevo León,Norte,25-34,36.0,2,0,Tarjeta de Crédito,Autorizada,1,Marketplace,Liverpool,0,5,Ninguno,0.1059,0,1,1
ECOMMX-2024-00001,CUST-93042,2025-12-22 02:25:19,2025-12-23 02:25:19,2025-12-25 02:25:19,1,2,2,2,0,1,Moda y Accesorios,4752.09,1.93,1,4887.17,Estafeta,Estándar,135.08,7.0,local,Ciudad de México,Centro,25-34,1.0,5,1,Efectivo (OXXO),Autorizada,1,Marketplace,Liverpool,1,5,Ninguno,0.0284,1,0,0
ECOMMX-2024-00002,CUST-64249,2025-09-05 03:26:12,2025-09-08 03:26:12,2025-09-10 03:26:12,3,2,4,2,-2,1,Moda y Accesorios,369.35,0.72,2,1057.43,FedEx,Estándar,318.73,314.0,nacional,Jalisco,Occidente,35-44,0.0,5,1,Tarjeta de Débito,Autorizada,1,Marketplace,Amazon México,0,5,Ninguno,0.8629,1,0,0
ECOMMX-2024-00003,CUST-87661,2025-08-07 12:45:58,2025-08-08 12:45:58,2025-08-15 12:45:58,1,7,6,7,1,0,Salud y Belleza,2753.38,2.58,1,3079.51,Estafeta,Estándar,326.13,983.0,nacional,Coahuila,Norte,35-44,17.0,0,1,Efectivo (OXXO),Autorizada,1,Marketplace,Mercado Libre,0,4,Ninguno,0.1184,0,1,0
ECOMMX-2024-00004,CUST-94918,2025-10-14 15:55:51,2025-10-17 15:55:51,2025-10-20 15:55:51,3,3,2,3,1,0,Electrónicos,1376.96,0.99,1,1653.38,DHL,Estándar,276.42,78.0,regional,México,Centro,25-34,3.0,0,1,Tarjeta de Débito,Autorizada,1,Marketplace,Mercado Libre,0,4,Ninguno,0.2007,0,0,0
ECOMMX-2024-00005,CUST-60185,2025-02-03 08:50:34,2025-02-04 08:50:34,2025-02-07 08:50:34,1,3,1,3,2,0,Deportes,7199.9,1.09,1,7693.47,FedEx,Express,493.57,152.0,regional,Zacatecas,Centro,18-24,7.0,2,1,Tarjeta de Crédito,Autorizada,6,Marketplace,Mercado Libre,0,5,Ninguno,0.0686,0,0,1
ECOMMX-2024-00006,CUST-61647,2025-04-28 05:43:22,2025-05-01 05:43:22,2025-05-08 05:43:22,3,7,8,7,-1,1,Juguetes y Bebés,1156.77,1.59,1,1372.61,Paquetexpress,Estándar,215.84,684.0,nacional,Sonora,Norte,35-44,6.0,0,0,Tarjeta de Débito,Autorizada,1,D2C,Sitio Web Propio,0,5,Ninguno,0.1866,0,0,0
ECOMMX-2024-00007,CUST-97315,2025-02-17 20:29:21,2025-02-18 20:29:21,2025-02-23 20:29:21,1,5,4,5,1,0,Deportes,1460.53,1.62,3,4739.03,FedEx,Estándar,357.44,446.0,nacional,Michoacán,Occidente,25-34,15.0,3,1,Tarjeta de Débito,En revisión,1,Marketplace,Amazon México,0,3,Ninguno,0.2447,0,1,0
ECOMMX-2024-00008,CUST-69627,2025-11-28 14:26:39,2025-11-29 14:26:39,2025-12-07 14:26:39,1,8,4,8,4,0,Hogar y Jardín,8038.83,4.39,4,32642.05,FedEx,Estándar,486.73,1443.0,nacional,Michoacán,Occidente,25-34,9.0,2,1,Efectivo (OXXO),En revisión,1,Marketplace,Liverpool,1,3,Ninguno,0.0605,0,0,1
ECOMMX-2024-00009,CUST-35194,2025-10-10 07:05:21,2025-10-12 07:05:21,2025-10-13 07:05:21,2,1,3,1,-2,1,Juguetes y Bebés,868.52,0.25,4,3811.72,DHL,Estándar,337.64,987.0,nacional,Michoacán,Occidente,35-44,0.0,2,1,Tarjeta de Débito,Autorizada,1,Marketplace,Mercado Libre,0,5,Paquete dañado,0.3888,0,0,0
ECOMMX-2024-00010,CUST-77213,2025-06-11 14:27:36,2025-06-13 14:27:36,2025-06-17 14:27:36,2,4,3,4,1,0,Electrónicos,1338.9,3.4,4,5861.98,DHL,Estándar,506.38,1422.0,nacional,Michoacán,Occidente,55+,6.0,4,1,Tarjeta de Débito,Autorizada,1,Marketplace,Mercado Libre,0,3,Ninguno,0.3782,1,0,1
ECOMMX-2024-00011,CUST-20989,2025-05-24 02:07:25,2025-05-26 02:07:25,2025-06-05 02:07:25,2,10,8,10,2,0,Salud y Belleza,1140.08,0.91,2,2429.33,Correos de México,Estándar,149.17,219.0,regional,Zacatecas,Centro,35-44,33.0,2,1,Efectivo (OXXO),Rechazada,1,Marketplace,Amazon México,1,3,Ninguno,0.1308,0,1,0
ECOMMX-2024-00012,CUST-26411,2025-07-02 17:46:58,2025-07-03 17:46:58,2025-07-06 17:46:58,1,3,3,3,0,1,Electrónicos,13457.61,0.92,3,40745.18,DHL,Estándar,372.35,1137.0,nacional,Nuevo León,Norte,18-24,6.0,0,0,Tarjeta de Crédito,Autorizada,12,Marketplace,Mercado Libre,0,4,Ninguno,0.0277,0,0,1
ECOMMX-2024-00013,CUST-39321,2025-02-21 09:28:01,2025-02-22 09:28:01,2025-03-06 09:28:01,1,12,12,12,0,1,Hogar y Jardín,4979.76,12.13,4,20435.43,Correos de México,Estándar,516.39,1090.0,nacional,Nayarit,Occidente,25-34,6.0,2,1,Tarjeta de Crédito,Autorizada,18,Marketplace,Amazon México,0,5,Ninguno,0.1037,0,0,1
ECOMMX-2024-00014,CUST-17301,2025-01-14 18:12:43,2025-01-17 18:12:43,2025-01-22 18:12:43,3,5,6,5,-1,1,Electrónicos,26645.69,0.56,5,133480.04,Estafeta,Estándar,251.59,656.0,nacional,Sonora,Norte,55+,12.0,4,1,Tarjeta de Crédito,Autorizada,1,Marketplace,Amazon México,0,5,Retraso,0.0094,1,0,1
ECOMMX-2024-00015,CUST-58182,2025-06-13 01:05:03,2025-06-14 01:05:03,2025-06-18 01:05:03,1,4,4,4,0,1,Hogar y Jardín,14133.68,6.41,7,99230.09,Estafeta,Estándar,294.33,179.0,regional,Tlaxcala,Centro,35-44,13.0,8,0,Tarjeta de Crédito,Autorizada,6,Marketplace,Amazon México,0,5,Ninguno,0.0208,1,1,1
ECOMMX-2024-00016,CUST-11920,2025-02-21 20:55:18,2025-02-22 20:55:18,2025-02-24 20:55:18,1,2,2,2,0,1,Electrónicos,20113.95,3.09,4,80768.38,DHL,Estándar,312.58,148.0,regional,Durango,Centro,25-34,1.0,5,1,Efectivo (OXXO),Autorizada,1,Marketplace,Walmart,0,5,Ninguno,0.0155,1,0,1
ECOMMX-2024-00017,CUST-43806,2025-07-05 06:49:08,2025-07-06 06:49:08,2025-07-12 06:49:08,1,6,7,6,-1,1,Electrónicos,10615.77,1.98,4,42747.08,Redpack,Estándar,284.0,1365.0,nacional,Michoacán,Occidente,18-24,38.0,5,1,Transferencia,Autorizada,1,Marketplace,Coppel,0,4,Ninguno,0.0268,1,1,1
ECOMMX-2024-00018,CUST-65871,2025-04-19 05:13:04,2025-04-22 05:13:04,2025-04-26 05:13:04,3,4,4,4,0,1,Electrónicos,8178.89,2.28,2,17024.87,Estafeta,Express,667.09,810.0,nacional,Coahuila,Norte,18-24,17.0,1,1,Tarjeta de Crédito,Autorizada,6,Marketplace,Amazon México,0,5,Ninguno,0.0816,0,1,1
ECOMMX-2024-00019,CUST-35443,2025-10-12 23:45:29,2025-10-13 23:45:29,2025-10-17 23:45:29,1,4,6,4,-2,1,Moda y Accesorios,720.0,1.33,5,3881.49,Estafeta,Estándar,281.49,1123.0,nacional,Oaxaca,Sur,25-34,6.0,2,1,Tarjeta de Débito,Rechazada,1,Marketplace,Amazon México,0,5,Retraso,0.391,0,0,0
