order_id,customer_id,order_date,shipped_date,delivered_date,processing_days,delivery_days,promised_delivery_days,actual_delivery_days,delivery_delay_days,delivery_met_promise,product_category,product_price_mxn,product_weight_kg,quantity,total_amount_mxn,shipping_carrier,shipping_tier,shipping_cost_mxn,distance_km,shipping_type,customer_state,customer_region,customer_age_group,customer_loyalty_months,purchase_frequency,is_urban,payment_method,transaction_status,payment_installments,sales_channel,platform_name,is_peak_season,customer_delivery_rating,delivery_issue,shipping_cost_to_price_ratio,is_frequent_customer,is_loyal_customer,high_value_order
ECOMMX-2024-06252,CUST-72632,2025-02-28 01:18:20,2025-03-02 01:18:20,2025-03-06 01:18:20,2,4,4,4,0,1,Salud y Belleza,1302.66,0.81,2,2940.91,FedEx,Estándar,335.59,1491.0,nacional,Guerrero,Sur,25-34,3.0,6,1,Tarjeta de Débito,Autorizada,1,D2C,Sitio Web Propio,0,5,Ninguno,0.2576,1,0,0
ECOMMX-2024-04684,CUST-56969,2025-01-15 20:03:06,2025-01-16 20:03:06,2025-01-29 20:03:06,1,13,12,13,1,0,Electrónicos,6779.08,3.0,2,13804.25,Correos de México,Estándar,246.09,831.0,nacional,Yucatán,Península,55+,34.0,2,1,Tarjeta de Crédito,Autorizada,12,Marketplace,Liverpool,0,4,Ninguno,0.0363,0,1,1
ECOMMX-2024-01731,CUST-46300,2025-10-10 13:31:14,2025-10-11 13:31:14,2025-10-16 13:31:14,1,5,4,5,1,0,Hogar y Jardín,9045.11,12.05,2,18568.77,Estafeta,Estándar,478.55,143.0,regional,México,Centro,45-54,6.0,0,1,Tarjeta de Débito,Autorizada,1,Marketplace,Liverpool,0,3,Ninguno,0.0529,0,0,1
ECOMMX-2024-04742,CUST-85775,2025-11-26 08:56:41,2025-11-27 08:56:41,2025-11-30 08:56:41,1,3,3,3,0,1,Libros y Educación,275.47,2.91,4,1419.38,FedEx,Estándar,317.5,290.0,regional,Zacatecas,Centro,18-24,37.0,2,1,Efectivo (OXXO),Autorizada,1,Marketplace,Walmart,1,5,Ninguno,1.1526,0,1,0
ECOMMX-2024-04521,CUST-71657,2025-07-31 20:32:37,2025-08-01 20:32:37,2025-08-04 20:32:37,1,3,2,3,1,0,Moda y Accesorios,1323.5,1.91,2,2954.86,UPS,Estándar,307.86,88.0,regional,Tlaxcala,Centro,35-44,14.0,2,1,Efectivo (OXXO),Autorizada,1,Marketplace,Amazon México,0,4,Ninguno,0.2326,0,1,0
ECOMMX-2024-06340,CUST-40322,2025-07-27 04:46:54,2025-07-28 04:46:54,2025-07-31 04:46:54,1,3,1,3,2,0,Hogar y Jardín,7134.28,6.65,5,36514.25,FedEx,Express,842.85,245.0,regional,Tlaxcala,Centro,45-54,23.0,2,1,Tarjeta de Débito,Rechazada,1,Marketplace,Coppel,0,5,Ninguno,0.1181,0,1,1
ECOMMX-2024-00576,CUST-74533,2025-04-25 23:36:04,2025-04-27 23:36:04,2025-04-30 23:36:04,2,3,4,3,-1,1,Libros y Educación,933.62,1.08,2,2238.64,UPS,Estándar,371.4,410.0,nacional,Tamaulipas,Norte,45-54,60.0,4,1,Efectivo (OXXO),Autorizada,1,Marketplace,Amazon México,0,5,Ninguno,0.3978,1,1,0
ECOMMX-2024-05202,CUST-98963,2025-12-09 15:16:47,2025-12-10 15:16:47,2025-12-18 15:16:47,1,8,4,8,4,0,Moda y Accesorios,1578.75,0.3,3,5046.71,FedEx,Estándar,310.46,930.0,nacional,Sonora,Norte,55+,10.0,2,1,Tarjeta de Débito,Autorizada,1,Marketplace,Mercado Libre,1,3,Ninguno,0.1966,0,0,1
ECOMMX-2024-06363,CUST-72223,2025-11-01 14:13:50,2025-11-02 14:13:50,2025-11-09 14:13:50,1,7,4,7,3,0,Libros y Educación,920.32,0.98,1,1245.82,FedEx,Estándar,325.5,379.0,nacional,Sinaloa,Occidente,35-44,6.0,3,1,Tarjeta de Crédito,En revisión,1,Marketplace,Mercado Libre,1,3,Ninguno,0.3537,0,0,0
ECOMMX-2024-00439,CUST-82198,2025-11-17 22:33:06,2025-11-18 22:33:06,2025-11-28 22:33:06,1,10,5,10,5,0,Electrónicos,14298.69,2.4,1,14515.66,Redpack,Estándar,216.97,144.0,regional,Durango,Centro,35-44,9.0,0,1,Tarjeta de Crédito,Autorizada,1,D2C,Sitio Web Propio,1,4,Retraso,0.0152,0,0,1
